ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2013,851.57,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2013,563.1761,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2013,89.7398,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2013,473.4363,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2013,460.9645,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2013,82.8309,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2013,378.1336,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2014,1024.1342,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2014,174.0909,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2014,850.0433,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2014,578.5427,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2014,92.0534,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2014,486.4893,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2014,445.5915,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2014,82.0375,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2014,363.554,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2015,1081.9621,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2015,174.4602,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2015,907.5019,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2015,617.9851,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2015,89.1893,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2015,528.7959,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2015,463.9769,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2015,85.2709,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2015,378.7061,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2016,1150.9531,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2016,173.1297,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2016,977.8234,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2016,646.7496,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2016,88.328,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2016,558.4216,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2016,504.2034,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2016,84.8017,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2016,419.4018,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2017,1191.7331,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2017,187.0356,,,R1:3513
